,Event,Date,Organizer,Location
0,Dynamics 365 & Power Platform meetup в Санкт-Петербурге. 6 декабря 2019,6 декабря 2019 г.,Dynamics365 Russian User Group,Санкт-Петербург
0,Agile meetup#8,20 октября 2018 г.,AgileNSK,Новосибирск
0,ElixirLangMoscow Meetup #8,22 ноября 2018 г.,Elixir Lang Moscow,Москва
0,Разработка БД нормативных документов и информационных активов компании (онлайн),9 ноября 2017 г.,CradleCreativeProjects,
0,Drupal Global Training Days Moscow,6 февраля 2020 г.,[Any] Digital Moscow,Москва
0,DevOps Moscow meetup: Infrastructure as Code,26 сентября 2018 г.,DevOps Moscow in Russian,
0,Piter PM: Mythbusters!,22 февраля 2020 г.,Piter PM,Sankt-Peterburg
0,May 2016 meetup,27 мая 2016 г.,Moscow Data Science,Москва
0,Собрание стартап клуба,1 марта 2020 г.,Стартап клуб,Москва
0,Обсуждение ScalaConf,15 июля 2019 г.,Scala Moscow,Москва
0,Пивная встреча в пабе ИЗИ (Rust 2018!),6 декабря 2018 г.,Rust в Москве,Москва
0,Ретроспектива Года,19 декабря 2019 г.,Agile Lean Moscow,Москва
0,WordPress Meetup #14. Трансляция контента в сети. Gutenberg-совместимый проект,18 июля 2018 г.,Saint-Petersburg WordPress Community,Санкт-Петербург
0,Atlassian user group on Chaos Constructions 2019,24 августа 2019 г.,Atlassian User Group in St. Petersburg,Saint Petersburg
0,Dynamic Talks | Big Data meetup | Landoop Lenses | Kraków,20 февраля 2020 г.,Grid Dynamics Java/ Big Data community,Kraków
0,Мини-Гипербатон: метрики эффективности,7 декабря 2018 г.,Yandex Moscow Events for Developers,Москва
0,"Майский ""SQL и не только"" митап",18 мая 2017 г.,TechGuruDay,Москва
0,Moscow English Speaking Club for Programmers SPEAK++,14 мар.,,
0,Startup Community Drinkup #2 | Moscow,18 февраля 2020 г.,SPECIA,Moskva
0,Воркшоп Романа Кумара Виаса «Безбюджетный маркетинг»,5 декабря 2019 г.,SPECIA,Sankt-Peterburg
0,"Об онлайн-продажах в автобизнесе, какова ситуация сегодня и чего следует ожидать",28 ноября 2019 г.,Автобизнес новой реальности,Москва
0,Общегородская встреча сообщества HashiCorp User Group #14,18 февраля 2019 г.,"St. Petersburg, Russia HashiCorp User Group",Санкт-Петербург
0,#3 AWS UserGroup Moscow@Croc,1 марта 2018 г.,AWS Meetup Moscow,Москва
0,Аналитика в распределённых системах,12 февраля 2018 г.,Scale-out databases and engines,
0,GDG St. Petersburg on Techtrain,24 августа 2019 г.,GDG St. Petersburg,Санкт-Петербург
0,@Kubernetes Meetup #1 в офисе Mail.Ru,29 октября 2018 г.,"@Kubernetes, @DevOps, @Databases в Mail.ru Group",Москва
0,Чёрная магия JIT компиляции,27 марта 2019 г.,Moscow Big Systems/Big Data,Москва
0,ElixirLangMoscow Meetup #3 (RamblerElixir #1),8 декабря 2016 г.,Elixir Lang Moscow,Москва
0,Собрание стартап клуба,24 ноября 2019 г.,Стартап клуб,Москва
0,IT Global Meetup #15. Летний слёт сообществ в Туутари парк,27 июля 2019 г.,St. Petersburg Jenkins Meetup,Retselya
0,February Moscow Tech Meetup: YouTube Insights,15 февраля 2017 г.,Moscow Tech Meetup,Москва
0,Новая встреча. Два доклада.,14 марта 2014 г.,Scala Moscow,Москва
0,Май в гостях у Lamoda.ru,31 мая 2018 г.,Moscow Atlassian User Group,
0,Any topiс meetup,2 августа 2017 г.,Yekaterinburg Geeks Meetup,
0,Clojure Meetup,30 ноября 2018 г.,Moscow Clojure Meetup,Москва
0,Master Support'a | Нск | 03.03.20,3 марта 2020 г.,IT События ЦФТ,Новосибирск
0,Встреча группы в Microsoft Technology center,15 июня 2017 г.,Moscow Azure Meetup,Москва
0,Семинар #4: Нейросетевые диалоговые системы,20 декабря 2015 г.,Deep learning Moscow,Москва
0,Power BI meetup Moscow - 25 февраля 2020,25 февраля 2020 г.,Russian MVP Community,Moskva
0,RubyRussia Conference,28 сентября 2019 г.,RubyRussia,Moskva
0,SPb Python Drinkup,27 августа 2020 г.,SPb Python Community,
0,Agile meetup#11,17 июля 2019 г.,AgileNSK,Новосибирск
0,Первый Jenkins-митап в Intel,20 апреля 2019 г.,Nizhny Novgorod Jenkins Meetup,Nizhnij Novgorod
0,November gophers party,18 ноября 2016 г.,GolangNSK,Новосибирск
0,PRO Confluence,12 декабря 2019 г.,Atlassian User Group in St. Petersburg,Saint Petersburg
0,MERGE Movies Session. Посмотрим кино...,2 марта 2020 г.,Language Club MERGE,Moskva
0,Вебинар «Цена задержки. Веселая Канбан-математика»,26 апреля 2018 г.,Russian Lean/Kanban Network,
0,Митап в сентябре: нейромузыка и SQL на стеройдах,14 сентября 2018 г.,Zelenograd Dev Meetup,Зеленоград
0,Java Community (JUGNsk) Meetup #11,29 октября 2019 г.,JUGNsk,Новосибирск
0,Kubernetes in Russia – Let's Get The Party Started,15 февраля 2017 г.,Moscow Kubernetes Meetup,Москва
0,Социология и психология для улучшения жизни IT-команды. Part 1,7 августа 2019 г.,IndexMeetup,Москва
0,"WP Moscow #5. Тонкости продаж, Gutenberg и ACF",31 января 2019 г.,WordPress Moscow,Москва
0,Линуксовка не только про ядро,21 июля 2019 г.,Saratov IT,Саратов
0,Cyber Security Speakers,8 октября 2019 г.,Cyber Security Club Moscow,Moskva
0,Пятничная встреча MLUG / MLUG friday's meetup,8 мая 2020 г.,Moscow GNU/Linux User Group,Москва
0,"""UX/UI-дизайнер: понять, найти и удержать""c Михаилом Танским и Виталием Глибиным",12 июля 2018 г.,IndexMeetup,Москва
0,English Club with Nataly — Better conversations,6 марта 2020 г.,English Club with Nataly,
0,Постгрес-вторник,12 мая 2020 г.,#RuPostgres,
0,SPb Scala Meetup 2018.2,11 апреля 2018 г.,SPb Scala User Group,Санкт-Петербург
0,"SPb Python Meetup - Закрываем этот год, готовимся к новому! 😉",17 декабря 2019 г.,SPb Python Community,Sankt-Peterburg
0,ManyChat Backend Meetup,5 декабря 2019 г.,ManyChat events,Москва
0,Docker workshop#1,17 марта 2018 г.,Docker Novosibirsk,Новосибирск
0,OWASP Russia Meetup #7,5 марта 2018 г.,OWASP Moscow Chapter,Москва
0,OWASP Moscow Meetup #9,6 декабря 2019 г.,OWASP Moscow Chapter,Москва
0,RedCode Meetup #2.  Documentation & Configuration as Code,22 ноября 2018 г.,RedCode,Краснодар
0,GDG Mobile-meetup,28 августа 2019 г.,GDG Izhevsk,Ижевск
0,Cовместно со Spice IT проводим митап для UE-разработчиков. ,25 сентября 2018 г.,Moscow Official Unreal Engine 4 User Group Meetup,
0,Meetup #5,5 ноября 2015 г.,St. Petersburg Data Science,Санкт-Петербург
0,Кейсы и технологии IoT от Microsoft,16 марта 2018 г.,IoT Community,Москва
0,WorldModel,11 января 2020 г.,FoundersDevelopers / WorldModel,
0,Simple Machine Learning seminar,7 марта 2017 г.,Yekaterinburg Geeks Meetup,Екатеринбург
